id,text,label,script,source,synthetic
5b3bbd3f5ec6e332,ചെമ്പന് ചേട്ടന്റെ പടക്കം പിടിച്ചുള്ള poster തിയേറ്ററില് കണ്ടപ്പോളേ FDFS ഉറപ്പിച്ചതാണ്. ഇതിപ്പോ trailer കൂടി കണ്ടപ്പോള് ക്ഷമ കിട്ടണില്ലാലോ ന്റെ പുണ്യാളാ,ham,native,dravidian_codemix,False
01e4ec25fbc50eae,We currently have a message awaiting your collection. To collect your message just call 08718723815.,smishing,roman,sms_phishing,False
cd53e18f7c7d50c8,ട്രെയ്ലർ കണ്ടപ്പോൾ തന്നെ ഫിലിം കാണുമെന്നു മനസ്സിൽ ഉറപ്പിച്ചവരുണ്ടോ ഇവിടെ,ham,native,dravidian_codemix,False
866fd7e4e7f19ca5,"I dont knw pa, i just drink milk..",ham,roman,sms_phishing,False
913b16e2381fca07,തെലുങ്ക് പടം പോലെ ആക്കല്ലെ.മലയാളം ഇൻഡസ്ട്രിയുടെ സ്റ്റാൻഡേർഡ് നശിപ്പിക്കരുത്.,ham,native,dravidian_codemix,False
b7e14556bea99fb3,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,ham,roman,sms_phishing,False
32e9cfa7139a088f,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,ham,roman,uci_sms,False
3a0dbd3a3e334b33,"Well the general price is &lt;#&gt; /oz, let me know if/when/how much you want",ham,roman,uci_sms,False
4d5a46eee64cdb55,നല്ല നല്ല എഡിറ്റിംഗ് ഫോട്ടോസിന് എന്റെ ചാനൽ സബ്സ്ക്രൈബ് ചെയുക,ham,native,dravidian_codemix,False
eeab05ede0127660,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,spam,roman,uci_sms,False
082f2a091b4e60da,"I prefer my free days... Tues, wed, fri oso can... Ã ask those workin lor...",ham,roman,sms_phishing,False
f1a5212a168af4ea,കൊല മാസ്സ്..... ഡാ സൂപ്പർ ഐറ്റം....,ham,native,dravidian_codemix,False
b869feafce25baea,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam,roman,uci_sms,False
87e62a8c80815506,കോഴി എന്ന് കേൾക്കുമ്പോൾ അപ്പൊ ഓർമ്മവരുന്നു എന്റെ ചങ്ക് ( ചെങ്കൽ ശരത്ത് ) നെ,ham,native,dravidian_codemix,False
d778d26e8bcb8bb4,ലാസ്റ്റിലെ ആ ഡയലോഗ് പറഞ്ഞത് പ്രദീപ് കോട്ടയം ചേട്ടനാണെന്ന് തോന്നുന്നു,ham,native,dravidian_codemix,False
fbaf4e577e239037,R u meeting da ge at nite tmr?,ham,roman,sms_phishing,False
458486fb9413670d,Substandard... ഊള പടം.. trailer കണ്ടു പറ്റിക്കപ്പെട്ടു.. എന്തിനു ഇങ്ങനെ കൂതറ പടം ഇറക്കി ഉള്ള വില കളയുന്നു Laleten.. double meaning ഊള comedy മാത്രം ഉള്ള ഇതിനെ എങ്ങനെ family entertainer എന്നു വിളിക്കുന്നു!!,ham,native,dravidian_codemix,False
ab893e4854f30e53,Todays Vodafone numbers ending with 4882 are selected to a receive a Â£350 award. If your number matches call 09064019014 to receive your Â£350 award.,smishing,roman,sms_phishing,False
4562e9c7d5ddfac7,And pls pls drink plenty plenty water,ham,roman,uci_sms,False
6dcc34a4f839d5dc,COME BACK TO TAMPA FFFFUUUUUUU,ham,roman,sms_phishing,False
4a24c372350ecd41,0:29 ഉദാഹരണം സുജാതയിലെ മഞ്ജുവിന്റെ മോൾ അല്ലെ?,ham,native,dravidian_codemix,False
b0349881016cdedb,Smile in Pleasure !!!Smile in Pain!!! Smile when trouble pours like Rain!!! Smile when sum1 Hurts U !!!Smile becoz SOMEONE still Loves to see u Smiling!! KEEP SMILING!!,ham,roman,sms_phishing,False
23062d5288251103,"Did you say bold, then torch later. Or one torch and 2bold?",ham,roman,uci_sms,False
647e9ce808438e31,Hello which the site to download songs its urgent pls,ham,roman,sms_phishing,False
62b01f766ea04d63,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277.,spam,roman,sms_phishing,False
fd6ed07a9d8c1999,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468",spam,roman,uci_sms,False
e0b934c207b82933,You will be in the place of that man,ham,roman,uci_sms,False
802e97fb45dec516,Guess who spent all last night phasing in and out of the fourth dimension,ham,roman,sms_phishing,False
25e3ae2ecf7165d9,"No we put party 7 days a week and study lightly, I think we need to draw in some custom checkboxes so they know we're hardcore",ham,roman,sms_phishing,False
901f4ee8b0ef3c53,subscribe to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,roman,sms_phishing,False
86788ec9fc1d7f59,ഇന്നലെയാണ് പടം കണ്ടത്. കിടുകാച്ചി പടം. രാജുവേട്ടൻ സുരാജേട്ടൻ പൊളിച്ചു,ham,native,dravidian_codemix,False
c8a013ea769fe691,Actually getting ready to leave the house.,ham,roman,sms_phishing,False
05b27e9f9133bc34,ഏട്ടൻ വേറെ levelaaa,ham,native,dravidian_codemix,False
2c12e82621d81917,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""",ham,roman,uci_sms,False
22ef055c761535db,U still havent got urself a jacket ah?,ham,roman,sms_phishing,False
2f577932f2cc5d72,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,smishing,roman,sms_phishing,False
4f068daeadea5dec,ഷമ്മി Hero ആടാ hero..................... ഷമ്മി പൊളിച്ചു മോനെ ഷമ്മി ഫാൻസ് ഉണ്ടോ ഇവിടെ,ham,native,dravidian_codemix,False
08959a24c00c6d78,Natalja (25/F) is inviting you to be her friend. See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,smishing,roman,sms_phishing,False
773b2e8c2963b6b4,ഷൈലോക്ക് ന്റെ നല്ല ടീസർ ആയിട്ട് പോലും ട്രോളി നടന്ന ലാലേട്ടൻ ഫാൻസിന് കിട്ടിയൊരു നല്ലൊരു തിരിച്ചടി തന്നെ ആയിരിന്നു ബിഗ് ബ്രദർ ന്റെ ട്രെയ്ലർ,ham,native,dravidian_codemix,False
